ID,Nombre,Apellido,Género,Fecha de Nacimiento,Tipo de Documento,Número de Documento,Grado,Fecha de Ingreso,Estrato,Grupo Étnico,Departamento,Ciudad,Segunda Lengua,Materia Favorita
194,José María,Pablo,Otro,2008-12-10,RC,6370081986,11,2021-04-07,2,Palenquero,Santander,Baleares,Principiante absoluto,Inglés
195,Eutimio,Sarabia,Femenino,2011-08-18,CC,1516711369,9,2020-07-09,5,Mestizo,Santander,Cantabria,Intermedio,Educación Física
196,Felicidad,Lloret,Otro,2006-11-29,TI,9688718339,7,2024-06-13,4,Indígena,Valle del Cauca,Cantabria,Principiante,Ciencias
197,Heraclio,Hoyos,Otro,2006-09-22,CC,1985015117,6,2022-09-28,1,Indígena,Cundinamarca,La Coruña,Intermedio,Ciencias
198,Victor Manuel,Calderón,Otro,2010-10-22,CC,3295641333,8,2020-04-12,6,Raizal,Santander,Zaragoza,Principiante absoluto,Inglés
199,Reynaldo,Anguita,Otro,2010-08-18,CC,9568020337,7,2021-10-20,5,Raizal,Antioquia,Navarra,Intermedio,Matemáticas
200,Mamen,Tena,Femenino,2008-10-17,RC,7779204850,11,2023-03-01,5,Blanco,Antioquia,Murcia,Experto,Ciencias
201,Abraham,Querol,Femenino,2006-07-26,RC,2020403127,9,2019-07-08,1,Blanco,Cundinamarca,Valencia,Experto,Historia
202,Florinda,Pascual,Masculino,2012-03-25,TI,8925702225,10,2021-08-28,3,Indígena,Valle del Cauca,León,Avanzado,Educación Física
203,Vinicio,Alcántara,Masculino,2011-05-02,CC,1957414017,9,2019-12-25,6,Indígena,Valle del Cauca,Sevilla,Intermedio,Matemáticas
204,Julieta,Perea,Femenino,2010-03-28,TI,2146882814,7,2020-02-02,1,Afrodescendiente,Santander,La Rioja,Principiante absoluto,Historia
205,Nerea,Mata,Femenino,2009-06-02,CC,9937505486,11,2024-06-24,4,Palenquero,Antioquia,Cantabria,Avanzado,Inglés
206,Mariana,Borrego,Otro,2006-09-08,RC,8306351802,6,2020-08-18,1,Indígena,Bogotá,Álava,Principiante,Inglés
207,Marcelino,Lastra,Otro,2010-02-15,CC,9318370793,8,2025-03-12,1,Afrodescendiente,Cundinamarca,Alicante,Intermedio,Educación Física
208,Paloma,Vélez,Otro,2007-12-11,TI,4129713614,7,2021-09-25,3,Afrodescendiente,Atlántico,Valencia,Intermedio,Matemáticas
209,Vilma,Granados,Masculino,2006-06-01,CC,5832119861,10,2021-08-29,3,Blanco,Cundinamarca,Vizcaya,Principiante,Arte
210,Carmina,Casanova,Otro,2011-10-29,RC,2250036322,9,2019-09-21,1,Palenquero,Cundinamarca,Valencia,Experto,Inglés
211,Ana Belén,Belda,Masculino,2011-07-20,CC,4282949339,7,2025-03-04,2,Palenquero,Bogotá,León,Principiante absoluto,Educación Física
212,Natividad,Montaña,Femenino,2011-11-21,TI,1231521102,6,2023-03-30,3,Blanco,Valle del Cauca,Cuenca,Intermedio,Historia
213,Gabriel,Carrasco,Masculino,2007-10-05,TI,6915977030,8,2024-03-08,5,Raizal,Santander,Murcia,Experto,Historia
214,Carlos,Abad,Masculino,2008-02-05,RC,4934356815,7,2022-11-12,1,Mestizo,Valle del Cauca,Palencia,Principiante,Educación Física
215,Cristina,Ferrando,Masculino,2008-06-19,TI,4155367025,11,2024-07-04,1,Mestizo,Valle del Cauca,Murcia,Experto,Matemáticas
216,Amada,Guzman,Otro,2009-12-23,TI,5443399793,10,2022-11-26,6,Palenquero,Antioquia,Salamanca,Avanzado,Arte
217,Candela,Tamarit,Otro,2007-12-03,TI,2259888497,8,2023-07-11,3,Palenquero,Antioquia,Soria,Intermedio,Arte
218,Herminio,Arjona,Femenino,2012-09-13,RC,5505147813,9,2022-10-09,6,Otro,Cundinamarca,Ciudad,Intermedio,Arte
219,Faustino,Giménez,Otro,2012-01-17,RC,6794800054,9,2021-09-04,1,Palenquero,Cundinamarca,Valencia,Principiante absoluto,Inglés
220,Eladio,Barón,Femenino,2009-06-21,RC,1414097262,8,2021-07-25,4,Mestizo,Atlántico,Salamanca,Principiante absoluto,Matemáticas
221,Ana Sofía,Fonseca,Masculino,2009-10-30,CC,6414160798,7,2022-06-21,6,Palenquero,Santander,Badajoz,Principiante,Educación Física
222,Elpidio,Sobrino,Otro,2007-12-02,RC,4563511455,10,2021-02-13,4,Otro,Cundinamarca,Zamora,Principiante,Historia
223,Lucas,Sans,Femenino,2011-09-07,TI,6409435352,11,2019-04-17,5,Otro,Valle del Cauca,Santa Cruz de Tenerife,Experto,Matemáticas
224,Tomasa,Alcántara,Masculino,2006-11-20,CC,7933699776,11,2024-04-23,3,Otro,Santander,Sevilla,Intermedio,Español
225,Pablo,Guerra,Masculino,2007-11-05,CC,3374405415,8,2020-05-30,1,Afrodescendiente,Cundinamarca,Madrid,Experto,Matemáticas
226,Jorge,Céspedes,Otro,2009-09-05,RC,1736108950,8,2022-09-16,5,Blanco,Valle del Cauca,Salamanca,Principiante absoluto,Español
227,Morena,Farré,Otro,2009-12-01,RC,4142139322,11,2020-12-22,4,Indígena,Antioquia,Zaragoza,Principiante absoluto,Matemáticas
228,Noa,Lladó,Femenino,2006-09-16,CC,8179083479,9,2022-10-22,6,Palenquero,Cundinamarca,Guipúzcoa,Principiante,Matemáticas
229,Luisina,Lucas,Masculino,2008-11-20,RC,7316842552,8,2019-05-22,2,Blanco,Santander,Huelva,Avanzado,Matemáticas
230,Plácido,Adadia,Otro,2010-11-24,CC,4691980464,9,2020-01-03,3,Indígena,Bogotá,Barcelona,Intermedio,Ciencias
231,Bautista,Cabezas,Femenino,2012-03-06,CC,7906655870,8,2024-01-14,4,Palenquero,Bogotá,Málaga,Principiante absoluto,Matemáticas
232,Carlos,Cabo,Femenino,2008-09-28,CC,7045681044,10,2024-07-31,1,Afrodescendiente,Bogotá,Girona,Experto,Matemáticas
233,Cristina,Riba,Otro,2011-10-06,RC,2939334064,9,2019-07-08,2,Blanco,Atlántico,Cuenca,Principiante absoluto,Español
234,Andrés Felipe,Pardo,Masculino,2012-06-12,RC,2181872869,7,2024-03-14,4,Mestizo,Santander,Girona,Principiante,Educación Física
235,Edmundo,Pellicer,Femenino,2006-09-30,RC,9342359721,11,2021-08-05,1,Mestizo,Cundinamarca,Ourense,Principiante absoluto,Educación Física
236,Georgina,Diez,Otro,2008-06-24,TI,2376550469,10,2020-11-26,6,Otro,Antioquia,Ceuta,Principiante absoluto,Inglés
237,Marc,Cornejo,Otro,2008-06-03,TI,4347102017,7,2022-03-20,4,Palenquero,Cundinamarca,Cáceres,Principiante,Historia
238,Jose Luis,Viana,Femenino,2007-07-09,CC,6758047267,11,2019-11-05,3,Indígena,Santander,Cantabria,Intermedio,Arte
239,Maxi,Pardo,Femenino,2012-10-10,CC,3045924604,11,2024-07-03,4,Mestizo,Cundinamarca,Palencia,Avanzado,Español
240,Galo,Mínguez,Otro,2009-11-21,RC,7595020183,6,2021-09-21,3,Indígena,Antioquia,Madrid,Principiante,Arte
241,Amor,Figueras,Otro,2010-08-27,RC,4404206746,10,2020-03-22,3,Otro,Antioquia,Málaga,Principiante,Historia
242,Zaida,Valentín,Masculino,2010-03-11,TI,7972532528,6,2023-01-31,1,Raizal,Cundinamarca,Córdoba,Principiante,Matemáticas
243,Loreto,Arana,Masculino,2013-02-09,TI,1765306010,8,2023-09-02,6,Indígena,Cundinamarca,Burgos,Principiante absoluto,Ciencias
244,Dora,Marco,Otro,2010-01-04,CC,9825659503,10,2021-09-04,3,Mestizo,Antioquia,Barcelona,Avanzado,Educación Física
245,Jose,Puig,Femenino,2010-01-16,RC,2515407936,9,2021-01-03,3,Blanco,Cundinamarca,Albacete,Principiante absoluto,Arte
246,Marta,Molina,Masculino,2009-08-28,TI,6537931090,6,2020-03-09,5,Mestizo,Valle del Cauca,Ciudad,Experto,Arte
247,Victoria,Porta,Otro,2008-11-24,CC,7397676808,11,2024-01-10,5,Afrodescendiente,Santander,La Rioja,Principiante,Matemáticas
248,Pastora,Grande,Masculino,2013-03-24,RC,7435518040,10,2019-10-07,4,Blanco,Bogotá,Lleida,Principiante,Educación Física
249,Ibán,Mayoral,Femenino,2009-01-20,TI,9282293561,6,2019-11-26,5,Raizal,Antioquia,Castellón,Intermedio,Educación Física
250,Modesta,Pavón,Masculino,2011-02-24,TI,4372774326,9,2024-08-02,1,Mestizo,Antioquia,Santa Cruz de Tenerife,Principiante,Educación Física
251,Joan,Moll,Femenino,2007-01-28,CC,4952739897,8,2019-12-20,6,Afrodescendiente,Atlántico,Asturias,Experto,Inglés
252,David,Nieto,Masculino,2008-09-05,TI,9630997470,10,2024-12-25,4,Afrodescendiente,Antioquia,La Coruña,Avanzado,Educación Física
253,Julia,Salinas,Otro,2009-06-22,TI,8086085354,9,2025-01-05,4,Mestizo,Valle del Cauca,Ciudad,Principiante,Historia
254,Eugenio,Dueñas,Femenino,2008-12-31,TI,4533339276,9,2020-09-26,6,Afrodescendiente,Bogotá,Castellón,Experto,Ciencias
255,Candelario,Mariscal,Femenino,2006-04-01,CC,8345205072,10,2024-07-09,1,Blanco,Santander,Barcelona,Intermedio,Matemáticas
256,Urbano,Rodríguez,Otro,2009-03-01,CC,4305429245,7,2021-07-10,6,Indígena,Bogotá,Soria,Intermedio,Educación Física
257,Renata,Fabregat,Otro,2011-03-09,TI,2140307007,7,2021-04-06,3,Palenquero,Atlántico,Granada,Experto,Arte
258,Concha,Estrada,Masculino,2012-10-17,CC,3060919969,9,2022-01-14,5,Indígena,Bogotá,Valencia,Intermedio,Inglés
259,Sabina,Orozco,Masculino,2012-10-02,RC,1988753923,6,2024-05-15,3,Mestizo,Antioquia,Las Palmas,Experto,Educación Física
260,Belén,Castro,Masculino,2012-06-19,RC,7670282645,6,2021-05-21,3,Afrodescendiente,Cundinamarca,Zamora,Principiante absoluto,Español
261,Cayetano,Ballester,Femenino,2006-12-04,TI,1885744753,8,2024-01-03,6,Afrodescendiente,Antioquia,Granada,Avanzado,Matemáticas
262,Aurora,Díaz,Otro,2008-04-26,RC,8252113599,11,2023-12-25,6,Afrodescendiente,Bogotá,Valladolid,Principiante absoluto,Ciencias
263,Crescencia,Murcia,Masculino,2010-10-01,RC,2472529995,10,2023-09-21,3,Otro,Bogotá,Ourense,Experto,Español
264,Pánfilo,Revilla,Otro,2012-01-29,CC,8814594383,10,2022-07-06,4,Otro,Bogotá,Badajoz,Experto,Español
265,Juanita,Olivé,Otro,2007-01-08,RC,2569042985,10,2023-01-25,3,Blanco,Cundinamarca,Cáceres,Principiante absoluto,Ciencias
266,Serafina,Martorell,Masculino,2007-03-30,RC,9507467837,11,2022-03-25,2,Indígena,Valle del Cauca,La Coruña,Experto,Inglés
267,Martirio,Gual,Femenino,2012-01-14,TI,9504788454,10,2022-05-01,3,Indígena,Atlántico,Santa Cruz de Tenerife,Experto,Inglés
268,Damián,Ramón,Masculino,2006-12-27,RC,3121051532,8,2019-05-30,6,Raizal,Atlántico,Cantabria,Intermedio,Matemáticas
269,Ceferino,Bolaños,Femenino,2006-06-05,TI,3362368829,8,2020-09-16,6,Indígena,Santander,Granada,Experto,Arte
270,Diana,Iborra,Masculino,2013-01-11,RC,9561604723,9,2022-07-15,4,Mestizo,Bogotá,Granada,Principiante,Inglés
271,Rita,Iglesia,Masculino,2009-05-31,TI,9830002781,9,2023-09-17,3,Otro,Santander,Castellón,Intermedio,Inglés
272,Manuelita,Villena,Masculino,2010-10-27,CC,3064781017,8,2019-09-13,5,Indígena,Cundinamarca,Palencia,Intermedio,Matemáticas
273,Concepción,Escamilla,Femenino,2011-07-29,TI,1261982489,8,2022-10-04,1,Raizal,Atlántico,Ourense,Intermedio,Historia
274,Leoncio,Falcó,Femenino,2012-11-23,TI,6993058812,10,2020-02-22,2,Otro,Cundinamarca,Lugo,Avanzado,Ciencias
275,Espiridión,Alfaro,Femenino,2009-01-18,RC,8681889290,8,2022-08-29,3,Afrodescendiente,Santander,Ávila,Intermedio,Matemáticas
276,Ruth,Baeza,Femenino,2011-05-28,RC,5251507851,9,2024-03-17,3,Raizal,Santander,Ávila,Principiante,Historia
277,Crescencia,Porcel,Masculino,2009-01-10,RC,8968252769,7,2022-12-14,2,Blanco,Antioquia,Badajoz,Intermedio,Educación Física
278,Jenny,Expósito,Masculino,2012-08-14,RC,2894237602,9,2022-02-02,3,Palenquero,Valle del Cauca,Navarra,Avanzado,Historia
279,Custodia,Company,Femenino,2013-02-21,CC,7374403873,7,2022-02-12,3,Indígena,Valle del Cauca,Albacete,Avanzado,Educación Física
280,Édgar,Vallés,Otro,2008-08-29,CC,5610528436,7,2024-09-19,4,Otro,Valle del Cauca,Castellón,Intermedio,Arte
281,Loreto,Anguita,Otro,2008-06-15,TI,9424890682,9,2022-10-13,4,Indígena,Atlántico,Girona,Experto,Inglés
282,Cristian,Quero,Masculino,2012-04-08,RC,5076971648,10,2022-09-12,6,Blanco,Cundinamarca,Las Palmas,Experto,Matemáticas
283,Calisto,Maza,Otro,2010-02-02,CC,5120595960,11,2022-03-29,3,Mestizo,Santander,Guipúzcoa,Principiante absoluto,Inglés
284,Maxi,Urrutia,Femenino,2011-03-23,CC,6455625633,9,2020-12-28,6,Raizal,Valle del Cauca,Tarragona,Principiante,Arte
285,Socorro,Jordán,Otro,2012-12-03,CC,4251199379,11,2022-03-05,3,Otro,Antioquia,Vizcaya,Experto,Inglés
286,Fabián,Pinilla,Otro,2007-01-15,RC,5622160580,11,2024-07-05,6,Raizal,Bogotá,León,Avanzado,Arte
287,Epifanio,Palomar,Femenino,2007-11-16,CC,8568225054,8,2021-12-27,6,Afrodescendiente,Santander,Valencia,Avanzado,Ciencias
288,Raúl,Barros,Masculino,2008-02-17,TI,5812768091,7,2023-03-14,5,Blanco,Santander,Murcia,Avanzado,Ciencias
289,Fausto,Barral,Femenino,2013-01-18,TI,2528896529,9,2023-03-18,3,Raizal,Cundinamarca,Álava,Experto,Ciencias
290,María Manuela,Recio,Masculino,2008-05-04,RC,8652844566,8,2024-08-11,3,Blanco,Antioquia,Girona,Avanzado,Educación Física
291,Fito,Pi,Masculino,2011-10-24,CC,3911048790,6,2023-05-05,1,Indígena,Atlántico,Ceuta,Principiante absoluto,Historia
292,Manu,Higueras,Otro,2008-07-03,CC,1711009312,9,2021-01-08,4,Raizal,Cundinamarca,Jaén,Experto,Matemáticas
293,Candelario,Mínguez,Otro,2007-09-01,CC,9136263653,9,2021-07-19,5,Mestizo,Santander,Granada,Avanzado,Educación Física
294,Gracia,Ayuso,Masculino,2008-10-13,CC,1638344577,8,2021-08-26,1,Raizal,Atlántico,Córdoba,Principiante absoluto,Educación Física
295,Marco,Portillo,Masculino,2011-05-31,TI,1366600591,8,2023-10-04,1,Blanco,Santander,Zaragoza,Principiante absoluto,Matemáticas
296,Clotilde,Rincón,Femenino,2006-12-24,CC,5673077817,11,2024-03-09,5,Indígena,Cundinamarca,Segovia,Principiante absoluto,Educación Física
297,José Ángel,Marquez,Femenino,2012-09-15,CC,3647382538,9,2021-07-19,5,Afrodescendiente,Bogotá,La Rioja,Intermedio,Educación Física
298,Eladio,Goñi,Masculino,2008-04-07,TI,3630883650,11,2019-10-13,1,Otro,Bogotá,Santa Cruz de Tenerife,Avanzado,Educación Física
299,Loida,Sosa,Otro,2012-11-05,CC,5825580162,11,2025-03-03,5,Otro,Santander,Guadalajara,Experto,Ciencias
300,Poncio,Romeu,Femenino,2011-12-27,CC,6363865317,8,2024-08-07,2,Otro,Bogotá,Cáceres,Avanzado,Historia
